entry_id,customer_id,admission,time
1,7476,USC,2024-01-01 15:16:34.463150
2,4615,USC,2024-01-01 18:08:16.095730
3,4257,USC,2024-01-01 18:03:29.097304
4,7307,Abo,2024-01-01 19:31:15.710051
5,9349,USC,2024-01-01 16:20:17.677435
6,856,USC,2024-01-01 16:26:58.777388
7,6477,Abo,2024-01-01 16:21:26.062807
8,885,USC,2024-01-01 15:39:06.603568
9,1127,USC,2024-01-01 12:16:29.647109
10,815,Tageseintritt,2024-01-01 19:24:02.661713
11,2352,USC,2024-01-01 19:07:58.404583
12,9245,Tageseintritt,2024-01-01 14:27:08.092817
13,6100,USC,2024-01-01 16:38:38.068338
14,4393,USC,2024-01-01 16:00:54.670773
15,1370,Tageseintritt,2024-01-01 16:05:35.924628
16,1400,USC,2024-01-01 13:13:14.731276
17,8510,USC,2024-01-01 16:14:27.780281
18,7089,Tageseintritt,2024-01-01 18:41:43.587362
19,353,Abo,2024-01-01 22:37:08.313823
20,7384,USC,2024-01-01 18:17:18.477758
21,3554,USC,2024-01-01 17:44:39.977990
22,7549,USC,2024-01-01 16:28:08.863233
23,7528,USC,2024-01-01 16:17:58.172279
24,3710,Tageseintritt,2024-01-01 19:23:41.566712
25,8003,Tageseintritt,2024-01-01 18:04:55.444809
26,9627,USC,2024-01-01 16:13:43.969870
27,287,Abo,2024-01-01 15:27:24.824198
28,3482,Tageseintritt,2024-01-01 17:10:35.361218
29,4609,Abo,2024-01-01 16:25:57.728612
30,131,USC,2024-01-01 17:29:20.199391
31,5141,Tageseintritt,2024-01-01 17:02:27.956732
32,1202,USC,2024-01-01 18:16:43.312175
33,6063,USC,2024-01-01 14:58:11.142380
34,6579,USC,2024-01-01 19:41:02.344303
35,1594,Tageseintritt,2024-01-01 23:00:00.000000
36,8230,USC,2024-01-01 19:53:14.206015
37,851,USC,2024-01-01 17:56:14.195876
38,4065,USC,2024-01-01 19:15:48.679480
39,1470,USC,2024-01-01 15:28:54.585531
40,1691,Abo,2024-01-01 14:20:00.281663
41,121,USC,2024-01-01 19:02:50.643001
42,1635,Tageseintritt,2024-01-01 16:25:25.380036
43,875,Tageseintritt,2024-01-01 14:48:23.917699
44,7376,USC,2024-01-01 15:44:19.742884
45,5382,USC,2024-01-01 15:14:20.023406
46,302,USC,2024-01-01 17:46:07.887955
47,2131,Tageseintritt,2024-01-01 18:39:51.284122
48,3296,USC,2024-01-01 19:16:31.788909
49,8012,Tageseintritt,2024-01-01 19:17:19.192777
50,9824,USC,2024-01-01 19:00:35.984140
51,7822,USC,2024-01-01 17:05:08.405591
52,3921,USC,2024-01-01 16:15:10.962756
53,360,USC,2024-01-01 14:29:01.296315
54,5688,Abo,2024-01-01 19:41:57.458226
55,4187,USC,2024-01-01 17:08:40.328727
56,4932,Tageseintritt,2024-01-01 16:40:45.240177
57,2588,Tageseintritt,2024-01-01 14:21:33.957682
58,8083,USC,2024-01-01 10:12:12.902836
59,320,USC,2024-01-01 13:40:10.527018
60,7907,Abo,2024-01-01 12:35:35.241967
61,7358,USC,2024-01-01 09:55:27.624889
62,4116,USC,2024-01-01 11:50:54.213036
63,4465,USC,2024-01-01 13:56:45.337443
64,3295,USC,2024-01-01 13:35:28.287340
65,8403,USC,2024-01-01 14:59:27.126621
66,8126,Abo,2024-01-01 12:40:34.905014
67,2963,USC,2024-01-01 18:44:40.533026
68,5988,USC,2024-01-01 10:09:33.186204
69,3818,Abo,2024-01-01 11:12:09.803592
70,6606,Tageseintritt,2024-01-01 11:52:41.778570
71,4341,USC,2024-01-01 09:09:44.996698
72,7478,USC,2024-01-01 14:05:05.939645
73,792,USC,2024-01-01 13:48:25.433933
74,5703,Tageseintritt,2024-01-01 12:02:16.802384
75,7764,Abo,2024-01-01 19:27:56.100767
76,8106,USC,2024-01-01 18:30:17.806065
77,5019,Abo,2024-01-01 19:12:38.670017
78,6643,USC,2024-01-01 20:44:37.360622
79,3030,Tageseintritt,2024-01-01 19:47:16.218882
80,6913,USC,2024-01-01 19:34:23.272341
81,392,USC,2024-01-01 20:30:05.213993
82,9065,USC,2024-01-01 21:09:29.471951
83,4487,Tageseintritt,2024-01-01 20:15:25.620732
84,2554,USC,2024-01-01 20:18:52.246425
85,2171,USC,2024-01-01 21:22:18.703681
86,8796,Tageseintritt,2024-01-01 20:10:31.991858
87,759,USC,2024-01-01 19:41:26.561233
88,933,USC,2024-01-01 20:40:23.251810
89,2306,Tageseintritt,2024-01-01 19:44:36.131342
90,1183,Tageseintritt,2024-01-01 19:37:55.827393
91,4753,Tageseintritt,2024-01-01 21:16:25.441033
92,4405,USC,2024-01-01 19:42:28.970385
93,4394,Tageseintritt,2024-01-02 18:21:18.527921
94,4559,Tageseintritt,2024-01-02 19:37:20.148239
95,9110,Tageseintritt,2024-01-02 17:52:22.770286
96,9524,USC,2024-01-02 17:11:54.495879
97,7725,USC,2024-01-02 18:39:29.665215
98,1275,USC,2024-01-02 16:51:03.409816
99,18,USC,2024-01-02 18:53:26.910957
100,6209,USC,2024-01-02 17:25:07.517219
101,142,Abo,2024-01-02 19:05:12.319240
102,3714,USC,2024-01-02 17:44:54.897429
103,6163,Tageseintritt,2024-01-02 20:25:58.370408
104,5155,Tageseintritt,2024-01-02 19:12:24.434512
105,63,Tageseintritt,2024-01-02 16:19:34.717465
106,4619,USC,2024-01-02 17:29:21.904333
107,6536,USC,2024-01-02 17:31:36.969926
108,3987,Tageseintritt,2024-01-02 17:37:53.327700
109,7154,Tageseintritt,2024-01-02 17:02:40.113092
110,6933,USC,2024-01-02 15:12:44.621171
111,9237,USC,2024-01-02 17:00:35.413946
112,2346,Tageseintritt,2024-01-02 15:13:37.963428
113,7890,USC,2024-01-02 19:01:52.221135
114,3114,Tageseintritt,2024-01-02 19:31:18.013724
115,8517,Tageseintritt,2024-01-02 16:28:29.663906
116,4164,Abo,2024-01-02 14:30:03.096381
117,5170,USC,2024-01-02 18:24:14.887866
118,8040,USC,2024-01-02 19:12:46.769771
119,118,USC,2024-01-02 19:09:41.594634
120,4010,USC,2024-01-02 23:00:00.000000
121,9817,Tageseintritt,2024-01-02 16:30:32.677633
122,925,Abo,2024-01-02 16:24:58.647403
123,3613,USC,2024-01-02 19:08:32.694761
124,6044,Abo,2024-01-02 16:01:00.233190
125,7040,USC,2024-01-02 15:39:49.367105
126,2843,USC,2024-01-02 17:45:40.415278
127,4290,USC,2024-01-02 16:47:53.381713
128,446,USC,2024-01-02 19:08:35.411014
129,7665,Abo,2024-01-02 19:19:14.833224
130,3260,USC,2024-01-02 19:52:24.957612
131,9412,Abo,2024-01-02 20:42:50.436956
132,3561,USC,2024-01-02 16:26:55.845609
133,772,Tageseintritt,2024-01-02 19:17:38.614461
134,9184,USC,2024-01-02 15:50:27.553045
135,6503,USC,2024-01-02 18:08:29.347687
136,5367,USC,2024-01-02 13:57:28.635508
137,2112,Tageseintritt,2024-01-02 23:00:00.000000
138,6248,USC,2024-01-02 17:46:45.503804
139,5366,USC,2024-01-02 17:35:36.572140
140,9233,USC,2024-01-02 16:06:04.216055
141,7798,USC,2024-01-02 20:46:26.023680
142,9477,Abo,2024-01-02 17:01:27.710706
143,2792,Tageseintritt,2024-01-02 19:26:21.284706
144,7724,Abo,2024-01-02 16:05:10.857904
145,6875,USC,2024-01-02 13:18:07.046414
146,3708,Tageseintritt,2024-01-02 20:09:32.668626
147,1330,USC,2024-01-02 16:33:29.925324
148,9023,USC,2024-01-02 19:38:36.698546
149,6308,USC,2024-01-02 15:51:25.997429
150,2655,USC,2024-01-02 17:10:28.255114
151,7955,Abo,2024-01-02 15:32:09.828262
152,9909,USC,2024-01-02 15:48:17.940851
153,5618,USC,2024-01-02 18:26:55.397291
154,8282,Tageseintritt,2024-01-02 20:02:33.716642
155,6258,USC,2024-01-02 20:22:16.603610
156,7742,USC,2024-01-02 18:56:13.159830
157,9330,USC,2024-01-02 18:54:29.822006
158,6900,Tageseintritt,2024-01-02 15:44:14.567425
159,140,Tageseintritt,2024-01-02 20:06:26.409712
160,6675,Tageseintritt,2024-01-02 17:43:19.958545
161,383,USC,2024-01-02 17:29:48.844712
162,5783,USC,2024-01-02 08:41:05.256939
163,3387,Abo,2024-01-02 11:30:14.048327
164,3538,Abo,2024-01-02 10:57:56.396432
165,4031,Tageseintritt,2024-01-02 10:04:18.553539
166,6318,Tageseintritt,2024-01-02 15:58:20.486833
167,3015,Tageseintritt,2024-01-02 10:21:14.643230
168,4451,USC,2024-01-02 10:11:35.239677
169,8688,USC,2024-01-02 14:10:09.226079
170,967,USC,2024-01-02 13:19:10.472143
171,2476,Abo,2024-01-02 13:37:38.226624
172,7663,USC,2024-01-02 15:06:11.360757
173,187,Abo,2024-01-02 11:50:20.806715
174,8252,USC,2024-01-02 10:09:23.531953
175,5461,Abo,2024-01-02 11:37:31.461043
176,6173,Abo,2024-01-02 10:20:03.369918
177,2469,Abo,2024-01-02 13:59:12.917731
178,2187,USC,2024-01-02 11:34:52.871150
179,4746,Tageseintritt,2024-01-02 13:31:58.904691
180,9319,USC,2024-01-02 12:44:22.153918
181,1719,USC,2024-01-02 09:32:27.837059
182,3355,Tageseintritt,2024-01-02 08:25:03.288863
183,6415,Tageseintritt,2024-01-02 11:07:22.211571
184,8176,USC,2024-01-02 10:14:40.798584
185,3772,USC,2024-01-02 20:36:32.253037
186,8165,USC,2024-01-02 17:24:40.657955
187,1577,Tageseintritt,2024-01-02 20:53:47.733823
188,3119,Abo,2024-01-02 18:29:31.699170
189,9707,USC,2024-01-02 19:44:28.622028
190,4605,Tageseintritt,2024-01-02 19:01:37.947605
191,891,Tageseintritt,2024-01-02 20:46:07.716630
192,88,USC,2024-01-02 20:57:34.135046
193,1294,Abo,2024-01-02 20:32:04.739608
194,7556,Tageseintritt,2024-01-02 20:52:00.669065
195,291,USC,2024-01-02 21:56:07.129348
196,8483,USC,2024-01-02 19:18:29.346285
197,2430,USC,2024-01-02 19:46:39.570891
198,6151,Abo,2024-01-02 20:46:08.291060
199,7423,USC,2024-01-02 21:47:11.843000
200,3567,Tageseintritt,2024-01-02 20:43:38.053985
201,7550,Tageseintritt,2024-01-02 21:27:10.390903
202,4143,Tageseintritt,2024-01-02 19:27:18.819017
203,1480,Tageseintritt,2024-01-02 18:04:00.004158
204,2117,Tageseintritt,2024-01-02 19:40:30.611576
205,9963,Abo,2024-01-02 21:12:18.993465
206,8384,Tageseintritt,2024-01-02 21:12:27.206406
207,172,USC,2024-01-02 20:01:52.484755
208,8358,Abo,2024-01-03 18:52:20.228110
209,3312,Abo,2024-01-03 15:55:44.971147
210,4365,USC,2024-01-03 21:31:23.730689
211,2763,USC,2024-01-03 16:51:45.329567
212,4201,Abo,2024-01-03 18:25:57.191266
213,4996,Tageseintritt,2024-01-03 17:16:02.432970
214,9009,Tageseintritt,2024-01-03 16:13:26.360726
215,9756,Abo,2024-01-03 18:55:31.056308
216,3781,Tageseintritt,2024-01-03 17:03:43.104803
217,5392,Tageseintritt,2024-01-03 17:17:52.119632
218,9802,Abo,2024-01-03 18:19:08.692603
219,1670,USC,2024-01-03 17:14:44.933781
220,8739,USC,2024-01-03 21:17:54.684294
221,4874,Abo,2024-01-03 15:31:41.017674
222,9758,Tageseintritt,2024-01-03 18:55:57.794912
223,8162,USC,2024-01-03 17:13:24.988017
224,8485,USC,2024-01-03 18:20:23.424190
225,5505,Tageseintritt,2024-01-03 22:04:34.135938
226,8900,USC,2024-01-03 18:52:43.772377
227,1405,USC,2024-01-03 16:59:42.946451
228,4726,Tageseintritt,2024-01-03 15:26:46.686041
229,920,USC,2024-01-03 18:31:38.967345
230,6136,Tageseintritt,2024-01-03 18:55:59.678098
231,5928,USC,2024-01-03 19:37:33.713991
232,2427,Abo,2024-01-03 17:49:25.097781
233,6578,USC,2024-01-03 20:29:53.185772
234,8780,Abo,2024-01-03 17:23:54.763180
235,1136,USC,2024-01-03 17:28:29.474027
236,5992,Tageseintritt,2024-01-03 17:33:31.886820
237,986,Tageseintritt,2024-01-03 15:46:40.919274
238,4039,USC,2024-01-03 15:24:28.619223
239,7223,USC,2024-01-03 18:34:05.659536
240,8749,USC,2024-01-03 20:57:05.769789
241,4034,Abo,2024-01-03 16:57:18.466702
242,5683,Tageseintritt,2024-01-03 16:51:36.689782
243,4879,USC,2024-01-03 18:00:04.847918
244,8301,USC,2024-01-03 20:41:31.111965
245,5673,USC,2024-01-03 20:01:21.525951
246,3038,Abo,2024-01-03 15:24:36.041918
247,6002,USC,2024-01-03 16:51:54.088244
248,1859,USC,2024-01-03 16:52:25.592076
249,3488,USC,2024-01-03 18:02:25.527902
250,7591,USC,2024-01-03 16:57:32.565034
251,4659,USC,2024-01-03 16:15:27.895861
252,3735,USC,2024-01-03 18:53:12.089663
253,1858,Abo,2024-01-03 16:46:45.921325
254,9671,USC,2024-01-03 19:32:49.161398
255,305,Tageseintritt,2024-01-03 19:45:59.984480
256,7559,USC,2024-01-03 16:01:29.171576
257,7045,Tageseintritt,2024-01-03 20:33:30.760145
258,7161,USC,2024-01-03 16:52:32.199613
259,6305,USC,2024-01-03 18:02:40.156142
260,2980,Tageseintritt,2024-01-03 18:40:46.160733
261,8111,USC,2024-01-03 17:24:23.591494
262,2696,USC,2024-01-03 15:53:25.478148
263,9738,USC,2024-01-03 17:30:28.455306
264,6882,USC,2024-01-03 19:33:03.850884
265,1504,USC,2024-01-03 16:31:54.737410
266,7154,Tageseintritt,2024-01-03 12:10:38.283847
267,4708,Abo,2024-01-03 17:17:24.417382
268,5486,USC,2024-01-03 20:42:10.126567
269,1164,USC,2024-01-03 16:59:17.069451
270,7558,USC,2024-01-03 20:16:39.559957
