entry_id,customer_id,admission,time,admission_detail
1,7476,USC,2024-01-01 15:16:34.463150,USC
2,4615,USC,2024-01-01 18:08:16.095730,USC
3,4257,USC,2024-01-01 18:03:29.097304,USC
4,7307,Abo,2024-01-01 19:31:15.710051,L-Abo
5,9349,USC,2024-01-01 16:20:17.677435,USC
6,856,USC,2024-01-01 16:26:58.777388,USC
7,6477,Abo,2024-01-01 16:21:26.062807,L-Abo
8,885,Sonstige,2024-01-01 15:39:06.603568,Day Ticket
9,1127,USC,2024-01-01 12:16:29.647109,USC
10,815,Tageseintritt,2024-01-01 19:24:02.661713,Ermäßigt
11,2352,USC,2024-01-01 19:07:58.404583,USC
12,9245,Tageseintritt,2024-01-01 14:27:08.092817,Regulär
13,6100,USC,2024-01-01 16:38:38.068338,USC
14,4393,USC,2024-01-01 16:00:54.670773,USC
15,1370,Tageseintritt,2024-01-01 16:05:35.924628,Ermäßigt
16,1400,USC,2024-01-01 13:13:14.731276,USC
17,8510,Sonstige,2024-01-01 16:14:27.780281,Day Ticket
18,7089,Sonstige,2024-01-01 18:41:43.587362,Day Ticket
19,353,Abo,2024-01-01 22:37:08.313823,L-Abo
20,7384,USC,2024-01-01 18:17:18.477758,USC
21,3554,USC,2024-01-01 17:44:39.977990,USC
22,7549,USC,2024-01-01 16:28:08.863233,USC
23,7528,USC,2024-01-01 16:17:58.172279,USC
24,3710,Tageseintritt,2024-01-01 19:23:41.566712,Regulär
25,8003,Tageseintritt,2024-01-01 18:04:55.444809,Ermäßigt
26,9627,USC,2024-01-01 16:13:43.969870,USC
27,287,Abo,2024-01-01 15:27:24.824198,L-Abo
28,3482,Tageseintritt,2024-01-01 17:10:35.361218,Regulär
29,4609,Abo,2024-01-01 16:25:57.728612,S-Abo
30,131,USC,2024-01-01 17:29:20.199391,USC
31,5141,Tageseintritt,2024-01-01 17:02:27.956732,Ermäßigt
32,1202,USC,2024-01-01 18:16:43.312175,USC
33,6063,USC,2024-01-01 14:58:11.142380,USC
34,6579,USC,2024-01-01 19:41:02.344303,USC
35,1594,Tageseintritt,2024-01-01 23:00:00.000000,Regulär
36,8230,USC,2024-01-01 19:53:14.206015,USC
37,851,Sonstige,2024-01-01 17:56:14.195876,Probemonat
38,4065,USC,2024-01-01 19:15:48.679480,USC
39,1470,USC,2024-01-01 15:28:54.585531,USC
40,1691,Abo,2024-01-01 14:20:00.281663,L-Abo Fremdhalle
41,121,USC,2024-01-01 19:02:50.643001,USC
42,1635,Tageseintritt,2024-01-01 16:25:25.380036,Regulär
43,875,Tageseintritt,2024-01-01 14:48:23.917699,Regulär
44,7376,USC,2024-01-01 15:44:19.742884,USC
45,5382,USC,2024-01-01 15:14:20.023406,USC
46,302,USC,2024-01-01 17:46:07.887955,USC
47,2131,Tageseintritt,2024-01-01 18:39:51.284122,Regulär
48,3296,USC,2024-01-01 19:16:31.788909,USC
49,8012,Tageseintritt,2024-01-01 19:17:19.192777,Ermäßigt
50,9824,USC,2024-01-01 19:00:35.984140,USC
51,7822,USC,2024-01-01 17:05:08.405591,USC
52,3921,USC,2024-01-01 16:15:10.962756,USC
53,360,USC,2024-01-01 14:29:01.296315,USC
54,5688,Abo,2024-01-01 19:41:57.458226,L-Abo
55,4187,USC,2024-01-01 17:08:40.328727,USC
56,4932,Tageseintritt,2024-01-01 16:40:45.240177,Regulär
57,2588,Tageseintritt,2024-01-01 14:21:33.957682,Regulär
58,8083,USC,2024-01-01 10:12:12.902836,USC
59,320,USC,2024-01-01 13:40:10.527018,USC
60,7907,Abo,2024-01-01 12:35:35.241967,L-Abo Fremdhalle
61,7358,USC,2024-01-01 09:55:27.624889,USC
62,4116,USC,2024-01-01 11:50:54.213036,USC
63,4465,USC,2024-01-01 13:56:45.337443,USC
64,3295,USC,2024-01-01 13:35:28.287340,USC
65,8403,USC,2024-01-01 14:59:27.126621,USC
66,8126,Abo,2024-01-01 12:40:34.905014,L-Abo
67,2963,USC,2024-01-01 18:44:40.533026,USC
68,5988,USC,2024-01-01 10:09:33.186204,USC
69,3818,Abo,2024-01-01 11:12:09.803592,S-Abo
70,6606,Tageseintritt,2024-01-01 11:52:41.778570,Regulär
71,4341,USC,2024-01-01 09:09:44.996698,USC
72,7478,USC,2024-01-01 14:05:05.939645,USC
73,792,USC,2024-01-01 13:48:25.433933,USC
74,5703,Tageseintritt,2024-01-01 12:02:16.802384,Ermäßigt
75,7764,Abo,2024-01-01 19:27:56.100767,L-Abo
76,8106,USC,2024-01-01 18:30:17.806065,USC
77,5019,Abo,2024-01-01 19:12:38.670017,M-Abo
78,6643,USC,2024-01-01 20:44:37.360622,USC
79,3030,Tageseintritt,2024-01-01 19:47:16.218882,Regulär
80,6913,USC,2024-01-01 19:34:23.272341,USC
81,392,USC,2024-01-01 20:30:05.213993,USC
82,9065,USC,2024-01-01 21:09:29.471951,USC
83,4487,Tageseintritt,2024-01-01 20:15:25.620732,Regulär
84,2554,USC,2024-01-01 20:18:52.246425,USC
85,2171,USC,2024-01-01 21:22:18.703681,USC
86,8796,Tageseintritt,2024-01-01 20:10:31.991858,Ermäßigt
87,759,USC,2024-01-01 19:41:26.561233,USC
88,933,USC,2024-01-01 20:40:23.251810,USC
89,2306,Tageseintritt,2024-01-01 19:44:36.131342,Regulär
90,1183,Tageseintritt,2024-01-01 19:37:55.827393,Regulär
91,4753,Tageseintritt,2024-01-01 21:16:25.441033,Regulär
92,4405,USC,2024-01-01 19:42:28.970385,USC
93,4394,Tageseintritt,2024-01-02 18:21:18.527921,Regulär
94,4559,Tageseintritt,2024-01-02 19:37:20.148239,Regulär
95,9110,Tageseintritt,2024-01-02 17:52:22.770286,Ermäßigt
96,9524,USC,2024-01-02 17:11:54.495879,USC
97,7725,USC,2024-01-02 18:39:29.665215,USC
98,1275,USC,2024-01-02 16:51:03.409816,USC
99,18,USC,2024-01-02 18:53:26.910957,USC
100,6209,USC,2024-01-02 17:25:07.517219,USC
