plz,name,lat,lon
17440,"Kröslin, Krummin, Lassan u.a.",53.9507762412,13.8100174061
01819,Bahretal,50.8829301861,13.8995257863
23554,Lübeck St. Lorenz Nord,53.890504262,10.6816991607
99438,Bad Berka u.a.,50.898329182,11.2632177955
79650,Schopfheim,47.6730672265,7.87199923465
13591,Berlin Staaken,52.5345648284,13.1406641231
88605,"Meßkirch, Sauldorf",47.9818380773,9.10336597087
97237,Altertheim,49.7245632368,9.74794312367
89185,Hüttisheim,48.2848984011,9.94386399862
86709,Wolferstadt,48.9114856482,10.7798911433
81547,München,48.1005268293,11.5756417534
79350,Sexau,48.1158360737,7.91821527987
55459,"Aspisheim, Grolsheim",49.9137787369,7.92263507523
26386,Wilhelmshaven,53.5541844999,8.11360920762
51469,Bergisch Gladbach,50.9847100115,7.10902581791
08359,Breitenbrunn/Erzgeb.,50.4714343705,12.7762054647
85221,Dachau,48.2680641723,11.4398945932
23966,"Wismar, Groß Krankow u.a.",53.887059563,11.4427321416
74731,Walldürn,49.5866606673,9.36414903708
17438,Wolgast,54.05599792,13.8087385682
56182,Urbar (bei Koblenz),50.3806935946,7.63357394774
37574,"Einbeck, Kreiensen",51.8229486737,9.88904753647
24634,Padenstedt,54.0311814433,9.8961486969
97279,Prosselsheim,49.8611478946,10.1211223271
85134,Stammham,48.8692587006,11.4708432981
91257,Pegnitz,49.7402069113,11.5241557465
39245,"Gommern, Dannigkow",52.0735589311,11.8362526084
27327,"Martfeld, Schwarme",52.8845716938,9.04459388303
24861,Bergenhusen,54.374393218,9.31476079589
38476,Barwedel,52.5349532637,10.7693363612
54568,Gerolstein,50.2170507284,6.64734260779
40878,Ratingen,51.2945038101,6.84727505168
97839,Esselbach,49.8603106933,9.52543228538
51598,Friesenhagen,50.8940120907,7.7919215338
26389,Wilhelmshaven,53.5287779824,8.07006408072
21423,Winsen,53.3061466866,10.2351512917
23847,Lasbek,53.7525301614,10.4813153317
78262,Gailingen am Hochrhein,47.6959091323,8.76691707127
28205,Bremen,53.0691149019,8.84463820043
79286,Glottertal,48.0418504083,7.96222139799
56076,Koblenz,50.3358872958,7.6277819949
26605,Aurich,53.4627518845,7.54791643751
95367,Trebgast,50.0668045944,11.5336381616
39106,Magdeburg,52.1448066262,11.6497398
16928,"Pritzwalk, Groß Pankow",53.1364856421,12.1289151187
44369,Dortmund,51.5348757717,7.40492646114
91746,Weidenbach,49.2108166495,10.6302311863
41239,Mönchengladbach,51.1615102367,6.42084906781
26757,Borkum,53.5925724109,6.7224865767
51143,Köln,50.8596884717,7.03599340361
97828,Marktheidenfeld,49.8412075422,9.56831337593
17322,"Blankensee, Grambow u.a.",53.5192268527,14.2839829395
47805,Krefeld,51.3195847758,6.56811877743
54570,"Pelm, Neroth u.a.",50.1648343518,6.70117295551
57271,Hilchenbach,50.9867743226,8.12749456648
51145,Köln,50.882416344,7.08045151728
92280,Kastl,49.3648947348,11.6885598241
85591,Vaterstetten,48.1120303798,11.7735761699
86577,Sielenbach,48.3912209279,11.1634522177
82499,Wallgau,47.5417013839,11.2759407456
18356,Barth,54.3773852735,12.5825178988
24241,Blumenthal,54.2231071839,10.0051235589
22309,Hamburg,53.6109578038,10.055236406
34537,Bad Wildungen,51.0959718273,9.09402095006
31699,Beckedorf,52.3430825668,9.30898576281
45476,Mülheim an der Ruhr,51.4491398697,6.85378263778
44139,Dortmund,51.4971776748,7.46266673743
77736,Zell am Harmersbach,48.3435863484,8.08285417464
53819,Neunkirchen-Seelscheid,50.8541796003,7.33082822076
92703,Krummennaab,49.8450481843,12.0983265408
16816,Neuruppin,52.9119623085,12.8024718989
18556,Dranske,54.6279968947,13.3187252095
15938,Golßen,51.9500035339,13.5888837033
68642,Bürstadt,49.6423248761,8.47118686971
69168,Wiesloch,49.2990979567,8.71481132966
75056,Sulzfeld,49.1062914863,8.86223489993
88630,Pfullendorf,47.9185198575,9.25802195117
23867,Sülfeld,53.8018102785,10.2308792153
23556,Lübeck,53.87353766,10.6153257627
98528,Suhl,50.6378056743,10.7356027405
57583,Nauroth,50.69528091,7.87835911786
39418,Staßfurt,51.8385860429,11.5835180136
39579,Rochau,52.7058952093,11.7693235998
82398,Polling,47.811951728,11.1311102029
94113,Tiefenbach,48.6358134433,13.3699528119
12049,Berlin Neukölln,52.476230832,13.4226287829
25581,Hennstedt,54.0334185716,9.70534143427
29633,Munster,52.9860702597,10.1086797327
33818,Leopoldshöhe,52.008824981,8.68730662858
35119,Rosenthal,50.9799847881,8.83094989707
25779,Hennstedt,54.2866390557,9.14699412677
19273,"Amt Neuhaus, Stapel",53.2681419213,10.9525987247
46483,Wesel,51.6617941457,6.61374639484
66955,Pirmasens,49.1778788786,7.60999659549
57413,Finnentrop,51.19965554,8.00958742882
79713,Bad Säckingen,47.5681040201,7.95656651646
22609,Hamburg,53.564015172,9.87210605868
38440,Wolfsburg,52.4257933182,10.7675931515
39393,"Hötensleben, Völpke, Ottleben u.a.",52.0836821892,11.0779446039
33330,Gütersloh,51.9181464729,8.37334919955
47443,Moers,51.4633916267,6.65591417447
35398,Gießen,50.5605908417,8.62686012556
48477,Hörstel,52.289579854,7.58480970322
67754,Eßweiler,49.5597979589,7.55763453103
27356,Rotenburg,53.1627879377,9.32771669819
88367,Hohentengen,48.0234288977,9.38206156147
82405,Wessobrunn,47.862830691,11.0237647783
51103,Köln,50.9420934079,7.01671631169
84453,Mühldorf a. Inn,48.2493796181,12.5183745199
12161,Berlin Friedenau,52.4703844438,13.3269688999
46446,Emmerich am Rhein,51.8501449349,6.24842232228
66903,Altenkirchen,49.4424528915,7.32023589054
61191,Rosbach v.d. Höhe,50.2867680374,8.68563049508
60308,Frankfurt,50.1122960027,8.65271630526
21732,Krummendeich,53.8365504961,9.20746663138
77974,Meißenheim,48.4041347551,7.79053486616
83435,Bad Reichenhall,47.7301567314,12.8611983747
47626,Kevelaer-Winnekendonk,51.5936190016,6.31517817659
45147,Essen,51.4396607191,6.98399279962
30625,Hannover,52.3765401703,9.80133256123
34626,Neukirchen (Knüll),50.876850645,9.36103372909
96275,Marktzeuln,50.1651383604,11.1776916856
67483,Edesheim,49.263605642,8.1591625146
92637,"Weiden in der OPf., Theisseil",49.6747055043,12.1710697569
09125,Chemnitz,50.7874696061,12.9392162663
94513,Schönberg,48.8369271286,13.3316624374
